"id","codigo","nombre","precio","categoria","stock","descripcion","activo","imagen_url","imagen_public_id","created_at","updated_at"
32,,"HUGGIES ETAPA 5 X 50",52000,"Pañales",125,"PACA X 8 =  416000",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1758411733/jtgzrrxfryjhoudbn2j4.png","jtgzrrxfryjhoudbn2j4","2025-08-20T17:04:28.1772+00:00","2025-08-20T17:04:28.1772+00:00"
42,,"REXONA CLINICAL  SPORT STREGTH POR 2",25000,"Desodorantes",5,"CAJA X 6",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756218831/c5qu31s1blxr5xcnqpsc.png","c5qu31s1blxr5xcnqpsc","2025-08-20T17:11:05.81746+00:00","2025-08-20T17:11:05.81746+00:00"
83,,"Huggies Active Sec Etapa 5/XXG x 25",26000,"Pañales",124,"Pacax8",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1758406210/ucqmxl9zah0xz5t2j2r1.png","ucqmxl9zah0xz5t2j2r1","2025-09-20T17:40:32.449518+00:00","2025-09-20T17:40:32.449518+00:00"
13,,"NIVEA FACIAL 5 EN 1    50ML",8500,"Bloqueadores y Cuidado de la Piel",0,"CAJA X 12",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756217535/pkjyjnsiztxygl0unwnv.png","pkjyjnsiztxygl0unwnv","2025-08-20T16:56:01.013507+00:00","2025-08-20T16:56:01.013507+00:00"
14,,"PILA DURACELL AAA 10X6",195000,"Otros",121,"CAJA X 10 C/U 19500",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756220099/hqnefqmyeoaetdnxep1c.png","hqnefqmyeoaetdnxep1c","2025-08-20T16:56:26.4552+00:00","2025-08-20T16:56:26.4552+00:00"
23,,"REXONA  DEO ROLON  V8 X 50G X2",14000,"Desodorantes",404,"CAJA X 12",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756218950/dkbvm2qevcqibk1kazc3.png","dkbvm2qevcqibk1kazc3","2025-08-20T17:00:35.998467+00:00","2025-08-20T17:00:35.998467+00:00"
28,,"SHAMPOO MULTIOLEOS Y SABILA",12500,"Cuidado del Cabello",0,"Paca x 24 300000",false,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219058/ekzdrttuqlc55rdtcicg.png","ekzdrttuqlc55rdtcicg","2025-08-20T17:02:59.847684+00:00","2025-08-20T17:02:59.847684+00:00"
45,,"PROTEX BALANCE JABON BARRA X72...",180000,"Jabones y Geles",0,"PACA X72",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756218454/tcw0v8jhuzwopuroznph.png","tcw0v8jhuzwopuroznph","2025-08-20T17:13:53.760443+00:00","2025-08-20T17:13:53.760443+00:00"
15,,"PILA DURACEL AA 10X6",195000,"Otros",551,"CAJA X 10  C/U 19500",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756220011/ytwm1a3bkdyybppdm4iz.png","ytwm1a3bkdyybppdm4iz","2025-08-20T16:56:50.545911+00:00","2025-08-20T16:56:50.545911+00:00"
12,,"TAMPON KOTEX DIGITAL RISTRA 6...",11500,"Toallas",713,"CAJA X 6 X 6 ",true,"https://res.cloudinary.com/dstnroimw/image/upload/v1756219565/grrvgwouwgupyymwvlcq.png","grrvgwouwgupyymwvlcq","2025-08-20T16:55:30.233738+00:00","2025-09-23T19:42:43.797734+00:00"
